year,date,bank_rate,,,,,,,,,,,,,,,,
1915,13/07/1915,5.0000,,,,,,,,,,,,,,,,
1916,13/07/1916,6.0000,,,,,,,,,,,,,,,,
1917,18/01/1917,5.5000,,,,,,,,,,,,,,,,
1917,05/04/1917,5.0000,,,,,,,,,,,,,,,,
1918,01/01/1918,5.0000,,,,,,,,,,,,,,,,
1919,06/11/1919,6.0000,,,,,,,,,,,,,,,,
1920,15/04/1920,7.0000,,,,,,,,,,,,,,,,
1921,28/4/21,6.5000,,,,,,,,,,,,,,,,
1922,23/06/1922,6.0000,,,,,,,,,,,,,,,,
1923,21/07/1923,5.5000,,,,,,,,,,,,,,,,
1923,3/11/23,5.0000,,,,,,,,,,,,,,,,
1924,01/01/1924,5.0000,,,,,,,,,,,,,,,,
1925,05/03/1925,5.0000,,,,,,,,,,,,,,,,
1925,06/08/1925,4.5000,,,,,,,,,,,,,,,,
1925,01/10/1925,4.0000,,,,,,,,,,,,,,,,
1925,03/11/1925,5.0000,,,,,,,,,,,,,,,,
1926,01/01/1926,5.0000,,,,,,,,,,,,,,,,
1927,21/04/1927,4.5000,,,,,,,,,,,,,,,,
1928,01/01/1928,4.5000,,,,,,,,,,,,,,,,
1929,07/02/1929,5.5000,,,,,,,,,,,,,,,,
1929,26/09/1929,6.5000,,,,,,,,,,,,,,,,
1929,31/10/1929,6.0000,,,,,,,,,,,,,,,,
1929,21/11/1929,5.5000,,,,,,,,,,,,,,,,
1929,12/12/1929,5.0000,,,,,,,,,,,,,,,,
1930,06/02/1930,4.5000,,,,,,,,,,,,,,,,
1930,06/03/1930,4.0000,,,,,,,,,,,,,,,,
1930,20/03/1930,3.5000,,,,,,,,,,,,,,,,
1930,01/05/1930,3.0000,,,,,,,,,,,,,,,,
1931,14/05/1931,2.5000,,,,,,,,,,,,,,,,
1931,23/07/1931,3.5000,,,,,,,,,,,,,,,,
1931,30/07/1931,4.5000,,,,,,,,,,,,,,,,
1931,21/09/1931,6.0000,,,,,,,,,,,,,,,,
1932,18/02/1932,5.0000,,,,,,,,,,,,,,,,
1932,10/03/1932,4.0000,,,,,,,,,,,,,,,,
1932,17/03/1932,3.5000,,,,,,,,,,,,,,,,
1932,21/04/1932,3.0000,,,,,,,,,,,,,,,,
1932,12/05/1932,2.5000,,,,,,,,,,,,,,,,
1932,30/06/1932,2.0000,,,,,,,,,,,,,,,,
1933,01/01/1933,2.0000,,,,,,,,,,,,,,,,
