term,start_date,count
suit,1900-01-01,372.0
suit,1901-01-01,311.0
suit,1902-01-01,374.0
suit,1903-01-01,524.0
suit,1904-01-01,578.0
suit,1905-01-01,371.0
suit,1906-01-01,435.0
suit,1907-01-01,428.0
suit,1908-01-01,472.0
suit,1909-01-01,548.0
suit,1911-01-01,490.0
suit,1912-01-01,554.0
suit,1913-01-01,811.0
suit,1914-01-01,901.0
suit,1915-01-01,1003.0
suit,1916-01-01,963.0
suit,1917-01-01,963.0
suit,1918-01-01,808.0
suit,1919-01-01,
suit,1920-01-01,711.0
suit,1921-01-01,574.0
suit,1922-01-01,599.0
suit,1923-01-01,468.0
suit,1924-01-01,529.0
suit,1925-01-01,444.0
suit,1926-01-01,460.0
suit,1927-01-01,482.0
suit,1928-01-01,524.0
suit,1929-01-01,646.0
suit,1931-01-01,723.0
suit,1932-01-01,667.0
suit,1933-01-01,605.0
suit,1934-01-01,683.0
suit,1935-01-01,774.0
suit,1936-01-01,857.0
suit,1937-01-01,788.0
suit,1938-01-01,754.0
suit,1939-01-01,712.0
suit,1940-01-01,834.0
suit,1941-01-01,779.0
suit,1942-01-01,
suit,1943-01-01,
suit,1944-01-01,
suit,1945-01-01,
suit,1946-01-01,
suit,1947-01-01,
suit,1948-01-01,
suit,1949-01-01,
suit,1950-01-01,
suit,1951-01-01,
suit,1952-01-01,
suit,1953-01-01,
suit,1954-01-01,
suit,1955-01-01,
suit,1956-01-01,
suit,1957-01-01,
suit,1958-01-01,
suit,1959-01-01,
suit,1942-01-01,851.0
suit,1943-01-01,
suit,1944-01-01,759.0
suit,1945-01-01,754.0
suit,1946-01-01,1149.0
suit,1947-01-01,1148.0
suit,1948-01-01,1018.0
suit,1949-01-01,948.0
suit,1950-01-01,
suit,1951-01-01,1307.0
suit,1952-01-01,1060.0
suit,1953-01-01,951.0
suit,1954-01-01,907.0
suit,1955-01-01,1035.0
suit,1956-01-01,941.0
suit,1957-01-01,1068.0
suit,1958-01-01,919.0
suit,1959-01-01,1119.0
suit,1960-01-01,1022.0
suit,1961-01-01,1100.0
suit,1962-01-01,946.0
suit,1963-01-01,807.0
suit,1964-01-01,766.0
suit,1965-01-01,762.0
suit,1966-01-01,626.0
suit,1967-01-01,580.0
suit,1968-01-01,535.0
suit,1969-01-01,442.0
suit,1970-01-01,534.0
suit,1971-01-01,600.0
suit,1972-01-01,613.0
suit,1973-01-01,292.0
suit,1974-01-01,304.0
suit,1975-01-01,318.0
suit,1976-01-01,
suit,1977-01-01,238.0
suit,1978-01-01,289.0
suit,1979-01-01,603.0
suit,1980-01-01,387.0
suit,1981-01-01,390.0
suit,1982-01-01,443.0
suit,1983-01-01,519.0
suit,1984-01-01,488.0
suit,1985-01-01,476.0
suit,1986-01-01,555.0
suit,1987-01-01,445.0
suit,1988-01-01,410.0
suit,1989-01-01,
suit,1989-01-01,556.0
suit,1990-01-01,538.0
suit,1991-01-01,491.0
suit,1992-01-01,362.0
suit,1993-01-01,383.0
suit,1994-01-01,445.0
suit,1995-01-01,510.0
suit,1996-01-01,340.0
suit,1997-01-01,482.0
suit,1998-01-01,292.0
suit,1999-01-01,228.0
suit,2000-01-01,358.0
suit,2001-01-01,336.0
suit,2002-01-01,261.0
suit,2003-01-01,232.0
suit,2004-01-01,232.0
suit,2005-01-01,268.0
suit,2006-01-01,206.0
suit,2007-01-01,377.0
suit,2008-01-01,367.0
suit,2009-01-01,220.0
suit,2010-01-01,300.0
suit,2011-01-01,192.0
suit,2012-01-01,271.0
suit,2013-01-01,161.0
suit,2014-01-01,128.0
suit,2015-01-01,119.0
suit,2016-01-01,87.0
suit,2017-01-01,92.0
suit,2018-01-01,68.0
suit,2019-01-01,85.0
suit,2020-01-01,55.0
suit,2021-01-01,34.0
